i_asset,upper(s_description)
20120035,BMAPHOTO
20120036,EWNSVCE
20120043,ZOO-BDC1
20120044,ZOO-BDC2
20120045,TTBZOOS1
20120059,ZOOBDC5
20120063,CORPPAYA
20120068,NOT AN ERA PRINTER
20120093,MTPPTSDX
20120098,ADTTRK2
20120099,TFNCAM1
20120111,TTNCZOOS1
20120112,ZOO-BDC6
20120113,AUHUSD0
20120114,AUPSVC0
20120115,ZOO-BDC0
20120117,TFNCZOOS1
20120118,ZOO-BDC7
20120119,TTBSVC120119
20120120,SSHCZS1
20120129,BPTPTS120129
20120133,EMZGMGR
20120182,APTRAINING
20120201,ENSADMD
20120271,TTB-BK1
20120274,TTNSVC20120274
20120278,TTBFIN3
20120346,DWNTEST1
20120347,TPD120347
20120348,TTNSVC120348
20120352,THNSHO120352
20120421,SSTSVCL
20120423,EMZSVC120423
20120424,SMTPD5
20120425,SMTSVC120425
20120450,AUPSVC120450
20120452,AUPSVC120452
20120456,BMA120456
20120512,AP EAGERS CORPORATE - MACBOOK PRO
20120648,AUVMOB7
20130156,TFSADM130156
20130185,MTPPBC4
20130203,SSHCCC130203
20130238,AUHSFM
20130238,AUHSRPT
20130252,CZSBDC130252
20130253,TFSUSE130253
200700001,THNSVC4
200700002,THNSVC5
200700015,THNVFM
200700015,THNVRPT
200700056,TFNSVC8
200700057,TFNSVC7
200700068,TTNVSFM
200700068,TTRSINV
200700112,TFSSFM
200700115,TFSSMGR
200700208,SUCSVC7
200700232,AUSSVC4
200700314,HVFRECEPTION
200700357,BTDPTS08
200700371,BTDDAP1
200700375,BTDUSD2
200700415,SSVALQI
200700439,SSTMALQ
200700465,SSHPTS5
200700473,SSHPTS6
200700480,SSHSVC7
200700564,SSFPTS6X
200700567,SSFPTS2
200700571,SSFSVCG
200700574,SSFSVCD
200700578,SSFSVC7X
200700580,ENSSVCM
200700601,SSTSVCC
200700613,SSTSVCK
200700615,SSTSVCH
200700628,SSTFINFM
200700678,AUPVFM
200700678,AUPPVLQI
200700678,AUPVLQI
200700682,HONDA_VPN
200700750,AUVSVCB
200700764,AURSVC2
200700772,AUVSHO8
200700801,AUVSVCA
200700802,AUVSVC9
200700807,CAPSVC4
200700810,MFVSVCF
200700901,EWNSVCC
200700919,CAGADM0
200700934,EMIPFM
200700934,EMIPRPT
200700946,EWNSVCD
200701006,CAGPTSB
200701040,AUWSVCD
200701079,SSRSVC8
200701089,ENSSVC6
200701095,ENSSVCJ
200701101,AUHPTS8
200701105,AUHPTSB
200701106,AUHPTSC
200701117,ENSPTSH
200701158,HOME-PC
200701181,ENSSVCK
200701189,ZOOGAB6
200701194,BMA080
200701197,BMA064
200701204,BMA053
200701226,EPDSVCA
200701227,EPDSVCB
200702029,CCAPTS9
200702050,CCAARPT
200702052,CCGSRPT1/CCGSFM1
200800019,TPDSVC?
200800048,ENSADME
200800067,BTDPARTS05
200800114,SMTUFM
200800122,ETOPTS1X
200800133,SSFSVC2
200800137,ENSADMH
200800143,SSTUSD4
200800147,SSTFLT0
200800163,SSTADM1
200800164,SSTADM9
200800175,AUHUSED
200800183,AUPRCPT2
200800185,AUPPTS1
200800188,AUPSVC2
200800230,SUTSHO2
200800231,SUTFIN1
200800234,SUTSHO1
200800243,MTPPTSQ
200800247,SUCSVC5
200800276,SUCPTS1
200800309,TFNSVC1
200800317,ENSPTSC
200800353,SUCSVC9
200800358,EWNGMGR
200800359,APCORPA
200800372,AUJSVC1
200800375,AUVSVC1
200800376,AUPSVC3
200800377,SSHSHO5
200800381,AUVSVCC
200800396,SMTPTS1
200800425,EMZSVC1
200800432,CCASVC5
200800438,AUSFFM
200800467,AUHPTS9
200800483,TFNSHO7
200800498,MTPPTST
200800503,AUHSVC7
200800607,NATHAN MCGEE
200800608,AUWSVC8
200800609,SSTSVC7
200800610,SSVSVC2
200800611,APCORP1
200800613,EKEPTS1
200800642,EMISVC7
200800643,EWNWTY
200800644,EMISHOA
200800647,TTSTEAM1
200800648,TFSUMGR
200800649,AUWSVC7
200800650,SSHCRM1
200800656,TTBSMGR
200800662,ENSSVCF
200800664,BMA062
200800666,EKESVC4
200800667,SSTPTS5
200800668,BMA054
200800677,CLOCK PRINTER - MTP WORKSHOP
200800679,AUJLOUNGE
200800684,APCORPITQ
200800685,EMZRCPT
200800686,MFSSHO5
200800687,MRMPTS1
200800688,AUSMGR1
200800690,TCR01
200800691,ENSFLT1
200800692,FCWSVC1
200800693,TTBADM2
200800703,CAGPTS1
200800704,MTPPTSN
200800708,CCASVC4
200800710,CAPSVC4
200800718,EKESHOD
200800721,EKESVC6
200800723,AUMSVC1X
200800726,BMA072
200800727,AUWRCPT
200800728,TFNSVC5
200800729,TFSPTS3
200800730,TADMINA
200800755,TTBLOAN
200800757,TSBSHO2
200800760,BTPSHO2
200800769,CCACGQ
200800770,GRWSHO8
200800771,GRWSHO1
200800772,EMZWSHOP1
200800773,MFVPD1
200800774,GRWSHO3
200800777,BTDPTS01
200800779,BTDADM04
200800780,BTDAM02
200800787,CCADP
200800788,TTNADM3
200800789,CCASHO1
200800793,CCAPTS1
200800794,CCASVC1
200800795,CCASVCD
200800796,CCASVC3
200800804,MTPPTSF
200800805,MFVSVC2
200800806,CCASHOWD
200800807,CCHSHO5
200800807,CCHSHO5
200800808,TTNSVC4
200800809,AUPGMGR
200800811,ENSSVCP
200800812,CCPPRD1
200800813,CCAADMA
200800814,SMTFIN2
200800816,APTRN2
200800835,AUVSHOD
200800836,AUWSVC3
200800837,SUCSHOD
200800838,TTNSVC5
200800843,MRTPTS1
200800844,SMTSVC7
200800852,TTBFLT6
200800853,AUWSVCK
200800854,MFNADM2
200800855,AUJSVC4
200800856,AUJSVC3
200800857,MFSSHO2
200800860,SSTUMGR2
200800861,TFSSMGR1
200800862,CASVC6
200800868,TTBSHON
200800869,TTBSINV
200800871,TFSSVC4
200800872,EMZSVCC
200800873,CCHSVC9
200800877,CCMSHOW8
200800879,CCAHADM8
200800880,TFSSVC1
200800885,CCAPD5
200800889,EAGERS KIA SERVICE CLOCK PRINTER.
200800891,SSFSVCJ - CLOCKING PRINTER
200800893,APCORPITC
200800898,BMA049
200800899,SST-SVR1
200800900,CCASHOWE
200800925,AUMTRN1
200800927,AURSVCM
200800951,ENSSVCE
200800952,SUCFIN2
200800953,EMISVC8
200800954,SSTSVC9
200800955,TFSSVC
200800956,MFNSVC6
200800958,TTNPTSA
200800959,TTBSVCA
200800969,CCAWEB2
200800974,CCABMGR1
200800975,AUMADM1
200800977,AURSVC6
200800978,EWNADM6
200800979,EMISVCA
200800981,AUSSVC9
200800982,EKESVC9
200800983,SSHSVCA
200800984,TTNSVCF
600550001,AUPPPIK
600550003,AUPSROI
