id,s_serialno,s_status,s_model,s_devicetype,t_date,s_location,s_costcentre,s_department,NA,NA,13,NA
200701194,0709-B087227/002,Active,D945PSN,PC,2007-09-01,BMA Pinkenba,810 Brisbane Motor Auction,Unknown,NA,NA,13,NA
200701197,0606-B081022/002,Active,D945PSN,PC,2006-06-01,BMA Pinkenba,810 Brisbane Motor Auction,Unknown,NA,NA,13,NA
200701204,0606-B080943/004,Active,D945PSN,PC,2006-06-01,BMA Pinkenba,810 Brisbane Motor Auction,Unknown,NA,NA,13,NA
200701223,0610-B082668/001,Active,D945PSN,PC,2006-10-01,BMA Pinkenba,810 Brisbane Motor Auction,Admin,NA,NA,13,NA
200800006,0802-B088967/003,Active,D945PSN,PC,2008-02-01,Torque Ford Admin,820 Torque Ford,Admin,NA,NA,13,NA
200800047,0805-B090055/002,Active,D945PSN,PC,2008-05-01,Eagers Holden Townsville,836 Eagers Holden,Parts,NA,NA,13,NA
200800048,0805-B090055/001,Active,D945PSN,PC,2008-05-01,Eagers Mitsubishi Newstead,803 Eagers Misubishi&Kia,Admin,NA,NA,13,NA
200800051,0806-B090226/001,Active,D945PSN,PC,2008-06-01,Bridge Toyota Darwin,814 Bridge Toyota Darwin,Parts,NA,NA,13,NA
200800052,0806-B090226/002,Active,D945PSN,PC,2008-06-01,Bridge Toyota Darwin,814 Bridge Toyota Darwin,Service,NA,NA,13,NA
200800058,0806-B090245/003,Active,D945PSN,PC,2008-06-01,Bridge Toyota Palmerston,814 Bridge Toyota Darwin,Showroom,NA,NA,13,NA
200800122,0802-B088961/001,Active,D945PSN,PC,2008-02-01,Eagers Holden Townsville,836 Eagers Holden,Parts,NA,NA,13,NA
200800128,0803-B089083/002,Active,D945PSN,PC,2008-03-01,SSV/SSR Buranda,806 Austral PAG,Service,NA,NA,13,NA
200800133,0803-B089343/003,Active,D945PSN,PC,2008-03-01,Southside Ford Woolloongabba,808 Metro,Service,NA,NA,13,NA
200800137,0803-B089241/001,Active,D945PSN,PC,2008-03-01,Eagers Mitsubishi Newstead,803 Eagers Misubishi&Kia,Admin,NA,NA,13,NA
200800143,L3-H5212 08/02,Active,8932-A45,Notebook,2008-02-01,Southside Toyota Woolloongabba,801 Southside Toyota,Showroom,NA,NA,13,NA
200800147,0803-B089340/003,Active,D945PSN,PC,2008-03-01,Southside Toyota Woolloongabba,801 Southside Toyota,Showroom,NA,NA,13,NA
200800163,0803-B089228/004,Active,D945PSN,PC,2008-03-01,Southside Toyota Woolloongabba,801 Southside Toyota,Admin,NA,NA,13,NA
200800164,0805-B089998/001,Active,D945PSN,PC,2008-05-01,Southside Toyota Woolloongabba,801 Southside Toyota,Admin,NA,NA,13,NA
200800165,0803-B089228/001,Active,D945PSN,PC,2008-03-01,Southside Toyota Woolloongabba,801 Southside Toyota,Admin,NA,NA,13,NA
200800175,0802-B088935/002,Active,D945PSN,PC,2008-02-01,Austral Honda Newstead,807 Austral Honda-VW,Showroom,NA,NA,13,NA
200800183,0806-B090068/001,Active,D945PSN,PC,2008-06-01,Austral VW Newstead,807 Austral Honda-VW,Showroom,NA,NA,13,NA
200800185,0806-B090055/004,Active,D945PSN,PC,2008-06-01,Porsche Centre Brisbane Newstead,805 Austral Porsche,Parts,NA,NA,13,NA
200800188,0806-B090068/002,Active,D945PSN,PC,2008-06-01,Porsche Centre Brisbane Newstead,805 Austral Porsche,Service,NA,NA,13,NA
200800203,0804-B089572/001,Active,D945PSN,PC,2008-04-01,BMA Pinkenba,810 Brisbane Motor Auction,Sales,NA,NA,13,NA
200800216,0802-B088440/001,Active,D945PSN,PC,2008-02-01,Metro Ford Fortitude Valley,808 Metro,Parts,NA,NA,13,NA
200800225,0801-B088350/004,Active,D945PSN,PC,2008-01-01,Southside Toyota Mt Gravatt,801 Southside Toyota,Service,NA,NA,13,NA
200800230,0802-B088973/004,Active,D945PSN,PC,2008-02-01,Subaru Toowong,804 CAG Subaru,Showroom,NA,NA,13,NA
200800231,0802-B088905/003,Active,D945PSN,PC,2008-02-01,Subaru Toowong,804 CAG Subaru,Showroom,NA,NA,13,NA
200800234,0801-B088351/004,Active,D945PSN,PC,2008-01-01,Subaru Toowong,804 CAG Subaru,Showroom,NA,NA,13,NA
200800236,0802-B088943/001,Active,D945PSN,PC,2008-02-01,Metro Parts Eagle Farm,808 Metro,Parts,NA,NA,13,NA
